id,status,identities,languages,affiliation,student,gender,num_languages,new_to_uchicago,new_to_chicago,new_to_usa,international
231,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,TRUE
231,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,TRUE
231,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,teochew,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,TRUE
232,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
233,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
233,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
233,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
233,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,TRUE,FALSE
233,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
234,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
235,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",NA,NA,MA Student,Graduate,NA,NA,NA,NA,NA,NA
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,TRUE
236,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,TRUE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,hindi,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,gujarati,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,3,TRUE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),hindi,MA Student,Graduate,Woman,3,TRUE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),gujarati,MA Student,Graduate,Woman,3,TRUE,FALSE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,3,FALSE,TRUE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),hindi,MA Student,Graduate,Woman,3,FALSE,TRUE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),gujarati,MA Student,Graduate,Woman,3,FALSE,TRUE,FALSE,FALSE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,TRUE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,hindi,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,TRUE
237,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,gujarati,MA Student,Graduate,Woman,3,FALSE,FALSE,FALSE,TRUE
238,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
238,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
238,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
238,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
239,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
239,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
240,other uchicago student,woman,english,Other Student,Other Student,Woman,1,FALSE,FALSE,FALSE,FALSE
241,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
241,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),NA,MA Student,Graduate,Woman,NA,TRUE,FALSE,FALSE,FALSE
242,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
242,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
242,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
243,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,mandarin,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
243,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,TRUE
244,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,TRUE
245,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
246,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
246,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,korean,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
246,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
246,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),korean,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
247,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,french,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Man,2,TRUE,FALSE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),french,MA Student,Graduate,Man,2,TRUE,FALSE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Man,2,FALSE,TRUE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),french,MA Student,Graduate,Man,2,FALSE,TRUE,FALSE,FALSE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,TRUE
248,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,french,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,TRUE
249,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
250,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
250,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,spanish,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),spanish,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),spanish,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
251,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
252,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
252,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),NA,MA Student,Graduate,Woman,NA,TRUE,FALSE,FALSE,FALSE
252,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,TRUE
253,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
254,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
255,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
256,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
256,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
256,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
256,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,TRUE,FALSE
256,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
257,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
258,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
