id,status,identities,languages,affiliation,student,gender,num_languages,new_to_uchicago,new_to_chicago,new_to_usa,international
272,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
273,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
273,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
273,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
273,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
274,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
275,uchicago undergraduate student,man,mandarin,Undergraduate Student,Undergraduate,Man,1,FALSE,FALSE,FALSE,FALSE
276,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
276,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
277,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,arabic,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Man,2,TRUE,FALSE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),arabic,MA Student,Graduate,Man,2,TRUE,FALSE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Man,2,FALSE,TRUE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),arabic,MA Student,Graduate,Man,2,FALSE,TRUE,FALSE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),english,MA Student,Graduate,Man,2,FALSE,FALSE,TRUE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),arabic,MA Student,Graduate,Man,2,FALSE,FALSE,TRUE,FALSE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,english,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,TRUE
278,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,arabic,MA Student,Graduate,Man,2,FALSE,FALSE,FALSE,TRUE
279,uchicago phd student,woman,english,PhD Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
280,not affiliated with uchicago,woman,english,Not Affiliated,Not Affiliated,Woman,1,FALSE,FALSE,FALSE,FALSE
280,not affiliated with uchicago,never been part of the uchicago campus/community,english,Not Affiliated,Not Affiliated,Woman,1,FALSE,FALSE,FALSE,FALSE
281,uchicago faculty/staff,man,english,Faculty/Staff,Faculty/Staff,Man,1,FALSE,FALSE,FALSE,FALSE
282,uchicago faculty/staff,man,english,Faculty/Staff,Faculty/Staff,Man,1,FALSE,FALSE,FALSE,FALSE
282,uchicago faculty/staff,new to chicago (<1 year),english,Faculty/Staff,Faculty/Staff,Man,1,FALSE,TRUE,FALSE,FALSE
